region,label,one
1075,1,0.0
1076,5,0.0
1077,5,0.0
1125,1,0.0
1126,1,0.0
1127,1,0.0
1128,1,0.0
1129,4,0.0
1130,4,0.0
1131,1,0.0
1132,5,0.0
1172,3,0.0
1173,3,0.0
1174,3,0.0
1175,3,0.0
1176,4,0.0
1177,4,0.0
1178,4,0.0
1179,1,0.0
1180,1,0.0
1181,5,0.0
1182,3,0.0
1183,5,0.0
1184,5,0.0
1221,4,0.0
1222,4,0.0
1223,4,0.0
1224,3,0.0
1225,3,0.0
1227,4,0.0
1228,4,0.0
1229,1,0.0
1230,1,0.0
1231,1,0.0
1232,1,0.0
1233,1,0.0
1234,5,0.0
1235,5,0.0
1272,4,0.0
1273,4,0.0
1274,4,0.0
1278,3,0.0
1279,5,0.0
1280,5,0.0
1281,1,0.0
1282,1,0.0
1283,5,0.0
1284,5,0.0
1285,5,0.0
1286,5,0.0
1287,5,0.0
1326,4,0.0
1327,4,0.0
1331,5,0.0
1332,5,0.0
1333,5,0.0
1334,5,0.0
1335,5,0.0
1336,5,0.0
1337,5,0.0
1338,1,0.0
1339,3,0.0
1376,4,0.0
1377,4,0.0
1378,4,0.0
1380,4,0.0
1382,1,0.0
1383,5,0.0
1384,5,0.0
1385,5,0.0
1386,5,0.0
1387,3,0.0
1388,3,0.0
1389,3,0.0
1390,3,0.0
1426,4,1.0
1431,3,0.0
1434,5,1.0
1435,3,0.0
1436,3,0.0
1437,3,0.0
1438,3,0.0
1439,3,0.0
1441,3,0.0
1442,3,0.0
1480,2,0.0
1482,2,0.0
1483,3,1.0
1530,2,0.0
1532,2,0.0
1533,2,0.0
1580,2,0.0
1630,2,1.0
1684,1,0.0
1733,1,0.0
1734,1,0.0
1783,1,0.0
2068,1,0.0
2069,1,0.0
2118,1,0.0
2119,1,0.0
2168,1,1.0
